topic_name,category_name,bundle_id,year,company,industry,country
Equal Work Opportunity,"Diversity, equal opportunity and non-discrimination",25956,2021,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Utilizing resource,Material use and circular economy,31655,2023,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
human capital management,Corporate governance,24857,2023,Nisshin Seifun Group Inc.,Processed Foods,Japan
EV charging infrastructure,Energy,59742,2025,Orion Corporation,Processed Foods,Finland
Waste Management,Waste management,45990,2024,Nestle Malaysia Bhd,Processed Foods,Malaysia
Energy savings,Energy,37982,2021,"Treehouse Foods, Inc.",Processed Foods,United States
Climate and footprinting,Climate change and GHG emissions,33291,2021,Nutreco N.V.,Processed Foods,Netherlands
Transparency,Corporate governance,18735,2021,"General Mills, Inc.",Processed Foods,United States
Climate Change Actions,Climate change and GHG emissions,36660,2024,Kerry Group PLC,Processed Foods,Ireland
Public Policy,Other,49293,2022,Sunmoon Food Co Ltd,Processed Foods,Singapore
Privacy at work,Data security and customer privacy,36273,2024,Lindt & Sprüngli AG,Processed Foods,Switzerland
Legal and regulatory matters,Compliance with laws and regulations,20650,2021,"Post Holdings, Inc.",Processed Foods,United States
Supply chains,Supply chain and procurement practices,31655,2023,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
Environmental stewardship,Environmental management,23261,2021,Tiger Brands Ltd,Processed Foods,South Africa
Business Ethics and Compliance,Corporate governance,46921,2023,San Miguel Corp,Processed Foods,Philippines
Anti-corruption policy,Anti-corruption,33475,2022,Hosen Group Ltd,Processed Foods,Singapore
Energy,Energy,26021,2022,Tiga Pilar Sejahtera Food Tbk,Processed Foods,Indonesia
Climate change,Climate change and GHG emissions,55756,2021,Danone,Processed Foods,France
Governance and Risk Management,Risk management,43048,2022,Country Foods Ltd,Processed Foods,South Africa
Climate Change,Climate change and GHG emissions,18445,2021,Campbell Soup Company,Processed Foods,United States
Resource Efficiency & Waste,Waste management,21855,2022,"Freshpet, Inc.",Processed Foods,United States
diverse workforce,"Diversity, equal opportunity and non-discrimination",51258,2024,Monde Nissin Corporation,Processed Foods,Philippines
Economic Performance,Economic performance,47955,2024,TreeHouse Private Brands Inc,Processed Foods,United States
Clear declaration of contents,Responsible marketing and labeling,18870,2019,Cloetta AB,Processed Foods,Sweden
Supply Chain Management,Supply chain and procurement practices,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Climate change,Climate change and GHG emissions,20638,2019,Orkla ASA,Processed Foods,Norway
corporate governance,Corporate governance,34767,2023,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Intellectual capital,Innovation and R&D,35547,2023,RFG Holdings Limited,Processed Foods,South Africa
Health of customers,Customer health and safety,21652,2022,Pulmuone Co Ltd,Processed Foods,"Korea, Rep."
Water and Effluents,Water management,24562,2024,House Foods Group Inc,Processed Foods,Japan
Human rights in supply chains,Supply chain and procurement practices,20639,2023,Orkla ASA,Processed Foods,Norway
Human Rights,"Human rights, child labor, forced or compulsory labor",50484,2023,Aryzta AG,Processed Foods,Switzerland
labor practices,"Human rights, child labor, forced or compulsory labor",29458,2022,PT INDOFOOD SUKSES MAKMUR Tbk,Processed Foods,Indonesia
Environmental Management,Environmental management,32823,2022,SunOpta Inc,Processed Foods,Canada
Circular material flow,Material use and circular economy,28813,2022,Grupo Arcor SA,Processed Foods,Argentina
Consumer well-being,Other,18630,2020,Mondelez International Inc,Processed Foods,United States
socio-economic development initiatives,Economic performance,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
Product Labeling,Responsible marketing and labeling,22207,2023,"Hostess Brands, LLC",Processed Foods,United States
healthy food availability,Access & affordability,44121,2021,Green Foods Co Ltd,Processed Foods,Japan
waste and pollution management,Waste management,36272,2023,Jungbunzlauer Suisse AG,Processed Foods,Switzerland
Environmental Protection,Environmental management,39288,2024,China Yurun Food Group Limited,Processed Foods,China
Employee Engagement,Employee attraction and retention,51258,2024,Monde Nissin Corporation,Processed Foods,Philippines
Reducing environmental impacts,Environmental management,24816,2023,Newlat Food SpA,Processed Foods,Italy
Forest maintenance,Other,23931,2023,Calbee Inc,Processed Foods,Japan
Respect for diversity,"Diversity, equal opportunity and non-discrimination",24857,2023,Nisshin Seifun Group Inc.,Processed Foods,Japan
Lobbying Public Policy,Political influence and lobbying,18790,2023,"Flowers Foods, Inc.",Processed Foods,United States
equity and inclusion,"Diversity, equal opportunity and non-discrimination",32585,2022,McCormick & Company Incorporated,Processed Foods,United States
Animal welfare,Animal welfare & testing,18735,2021,"General Mills, Inc.",Processed Foods,United States
Responsible resource consumption,Material use and circular economy,31214,2023,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Deforestation-free requirements,"Human rights, child labor, forced or compulsory labor",29631,2020,AAK AB (publ),Processed Foods,Sweden
skills development,"Training, education and development",27888,2023,Coca-Cola Europacific Partners PLC,Processed Foods,United Kingdom
"Health, safety and wellness",Occupational health and safety,50417,2022,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Dialogue with shareholders,Corporate governance,27780,2023,Riken Vitamin Co Ltd,Processed Foods,Japan
Ocean and coastal guardians,Other,47688,2021,Tassal Group Ltd,Processed Foods,Australia
Waste Management,Waste management,37982,2021,"Treehouse Foods, Inc.",Processed Foods,United States
Increased water stress,Water management,23929,2021,Calbee Inc,Processed Foods,Japan
Cost-effective medicines,Economic performance,28737,2019,Orion Corporation,Processed Foods,Finland
Environmental Management,Environmental management,53245,2021,Griffith Foods,Processed Foods,United States
Product health & nutrition,Access & affordability,28641,2021,Premium Brands Holdings Corporation,Processed Foods,Canada
Public Policy,Other,47064,2023,Select Harvests Ltd,Processed Foods,Australia
Waste minimization,Waste management,40156,2024,Seneca Foods Corporation,Processed Foods,United States
Financial performance,Economic performance,51131,2024,SunOpta Inc,Processed Foods,Canada
Supplier management,Supply chain and procurement practices,25470,2020,Uni-President Enterprises Corp,Processed Foods,Taiwan
food safety,Product quality and safety,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
Diversity,"Diversity, equal opportunity and non-discrimination",58064,2024,Viciunai Group,Processed Foods,Lithuania
Growth,Other,43211,2021,Del Monte Pacific Ltd,Processed Foods,Philippines
REGULATORY COMPLIANCE,Compliance with laws and regulations,57968,2024,Utz Brands Inc,Processed Foods,United States
Local initiatives,Other,36484,2024,Bega Cheese Limited,Processed Foods,Australia
European Union Deforestation Regulation,Environmental management,57922,2024,Valsoia SpA,Processed Foods,Italy
Diversity,"Diversity, equal opportunity and non-discrimination",44740,2024,Interfood Shareholding Co,Processed Foods,Viet Nam
Marketing and Labeling,Responsible marketing and labeling,46694,2024,QAF Ltd,Processed Foods,Singapore
community investment,Local communities and rights of indigenous peoples,32252,2020,Bakkafrost P/F,Processed Foods,Faroe Islands
Technological Innovation,Innovation and R&D,33573,2021,China Yurun Food Group Limited,Processed Foods,China
Community Impact,Local communities and rights of indigenous peoples,58273,2024,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
"Diversity, equity & inclusion","Diversity, equal opportunity and non-discrimination",36841,2024,Premium Brands Holdings Corporation,Processed Foods,Canada
fair working conditions,Employee attraction and retention,33035,2022,Emmi AG,Processed Foods,Switzerland
Transparent policy and lobbying,Political influence and lobbying,28568,2019,The Hershey Company,Processed Foods,United States
Climate change adaptation,Risk management,24857,2023,Nisshin Seifun Group Inc.,Processed Foods,Japan
Environmental responsibility,Environmental management,45582,2022,Mayora Indah Tbk PT,Processed Foods,Indonesia
Pay equality,"Diversity, equal opportunity and non-discrimination",45389,2024,Lippo Ltd,Processed Foods,"Hong Kong SAR, China"
Food Safety,Product quality and safety,19847,2019,Lamb Weston Holdings Inc,Processed Foods,United States
Occupational Health and Safety,Occupational health and safety,38426,2022,Lotus Bakeries NV,Processed Foods,Belgium
Water,Water management,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
local community initiatives,Local communities and rights of indigenous peoples,39636,2021,Ezaki Glico Co Ltd,Processed Foods,Japan
Climate change adaptation and mitigation,Climate change and GHG emissions,51820,2022,Ajinomoto Group,Processed Foods,Japan
Transparency and quality products,Product quality and safety,44308,2023,HB Global Ltd,Processed Foods,China
Environmental impact of operations,Environmental management,52928,2024,Euraco Finefood Pte Ltd,Processed Foods,Singapore
climate change,Climate change and GHG emissions,32823,2022,SunOpta Inc,Processed Foods,Canada
Occupational health and safety,Occupational health and safety,25470,2020,Uni-President Enterprises Corp,Processed Foods,Taiwan
Strengthening corporate governance,Corporate governance,34168,2021,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Forced and compulsory labor,"Human rights, child labor, forced or compulsory labor",28228,2019,Lindt & Sprüngli AG,Processed Foods,Switzerland
Business Ethics & Corporate Behavior,Corporate governance,28536,2024,GEA Group Aktiengesellschaft,Processed Foods,Germany
Biodiversity,Biodiversity,47064,2023,Select Harvests Ltd,Processed Foods,Australia
Human rights abuses,"Human rights, child labor, forced or compulsory labor",57881,2024,High Liner Foods Inc,Processed Foods,Canada
Affected Communities,Local communities and rights of indigenous peoples,57922,2024,Valsoia SpA,Processed Foods,Italy
ESG issues reporting,Other,45991,2022,Nestle Nigeria PLC,Processed Foods,Nigeria
Health and safety employees,Occupational health and safety,29632,2022,AAK AB (publ),Processed Foods,Sweden
Responsible sourcing,Supply chain and procurement practices,28641,2021,Premium Brands Holdings Corporation,Processed Foods,Canada
Sustainable Supply Chain Management,Supply chain and procurement practices,59811,2025,Dongwon Industries Co Ltd,Processed Foods,"Korea, Rep."
Employment and Labour Relations,Employee attraction and retention,29973,2021,Ferrero Group,Processed Foods,Luxembourg
Climate change transition,Climate change and GHG emissions,19783,2023,Kerry Group PLC,Processed Foods,Ireland
Circular economy,Material use and circular economy,38261,2024,McCain Foods,Processed Foods,Canada
Producing healthier and affordable food,Access & affordability,19922,2021,Greencore Group PLC,Processed Foods,Ireland
Short fair supply chain,Supply chain and procurement practices,52687,2023,De Graaf Bakeries,Processed Foods,Netherlands
Anti-corruption,Anti-corruption,44915,2022,Jiujiuwang Food International Ltd,Processed Foods,China
Energy & Climate,Energy,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Child labour,"Human rights, child labor, forced or compulsory labor",35442,2023,Eggriculture Foods Ltd,Processed Foods,Singapore
Socioeconomic Compliance,Other,50588,2019,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Training and Development,"Training, education and development",28900,2022,Nissui Corp,Processed Foods,Japan
Anti-competitive Behaviour,Anti-competitive behavior,59357,2024,Hochland Polska,Processed Foods,Poland
Human Rights,"Human rights, child labor, forced or compulsory labor",28900,2022,Nissui Corp,Processed Foods,Japan
Water resources,Water management,37425,2021,Ajinomoto Co Inc,Processed Foods,Japan
Food Safety & Quality,Product quality and safety,22207,2023,"Hostess Brands, LLC",Processed Foods,United States
Responsible Marketing,Responsible marketing and labeling,37974,2023,SunOpta Inc,Processed Foods,Canada
employment equity plans,"Diversity, equal opportunity and non-discrimination",35546,2021,RFG Holdings Limited,Processed Foods,South Africa
Promotion of product recycling,Material use and circular economy,41196,2021,Unicharm Petcare Corp,Processed Foods,Japan
Cybersecurity,Data security and customer privacy,54699,2022,Sigma Alimentos,Processed Foods,Mexico
climate-related issues,Climate change and GHG emissions,29027,2023,Del Monte Foods Inc,Processed Foods,United States
business ethics,Corporate governance,35765,2024,Nestlé Group,Processed Foods,Switzerland
Sourcing of ingredients,Supply chain and procurement practices,54301,2022,pladis,Processed Foods,United Kingdom
Employee retention and development,"Training, education and development",33820,2023,"Deoleo, S.A.",Processed Foods,Spain
Seafood supply chain,Supply chain and procurement practices,26137,2022,Seafresh Industry PCL,Processed Foods,Thailand
Diversity and equality,"Diversity, equal opportunity and non-discrimination",44121,2021,Green Foods Co Ltd,Processed Foods,Japan
Customer satisfaction,Customer experience and engagement,29636,2021,Inarktika PAO,Processed Foods,Russian Federation
Waste and recycling,Waste management,28227,2018,Lindt & Sprüngli AG,Processed Foods,Switzerland
Governance and compliance,Corporate governance,31212,2021,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Staff welfare,Employee attraction and retention,35099,2021,Bio Food Products Ltd,Processed Foods,Kenya
LABELING & MARKETING,Responsible marketing and labeling,57968,2024,Utz Brands Inc,Processed Foods,United States
Employee Health,Occupational health and safety,19783,2023,Kerry Group PLC,Processed Foods,Ireland
Responsible Ingredient Sourcing,Supply chain and procurement practices,22207,2023,"Hostess Brands, LLC",Processed Foods,United States
Quality and safety control,Product quality and safety,27779,2024,Nichimo Co Ltd,Processed Foods,Japan
Sustainable raw material procurement,Supply chain and procurement practices,34153,2022,"J-Oil Mills, Inc.",Processed Foods,Japan
Health management,Occupational health and safety,41195,2023,Daisho Co Ltd,Processed Foods,Japan
Broad-based black economic empowerment,Corporate governance,58046,2024,Tiger Brands Ltd,Processed Foods,South Africa
Human Rights,"Human rights, child labor, forced or compulsory labor",19783,2023,Kerry Group PLC,Processed Foods,Ireland
Discrimination in employment,"Diversity, equal opportunity and non-discrimination",28228,2019,Lindt & Sprüngli AG,Processed Foods,Switzerland
Efficient use of resources,Material use and circular economy,46604,2021,President Bakery PCL,Processed Foods,Thailand
Forced or compulsory labor,"Human rights, child labor, forced or compulsory labor",29027,2023,Del Monte Foods Inc,Processed Foods,United States
Decarbonized society,Climate change and GHG emissions,27781,2024,Riken Vitamin Co Ltd,Processed Foods,Japan
Zero Waste to Landfill,Waste management,29068,2019,Hershey Co,Processed Foods,United States
Competence development,"Training, education and development",28740,2022,Orion Corporation,Processed Foods,Finland
Sustainable agriculture practices,Environmental management,49806,2022,Grupo Bimbo SAB de CV,Processed Foods,Mexico
Food safety standards,Product quality and safety,28111,2023,Kalsec Inc.,Processed Foods,United States
Climate-related risks,Risk management,48808,2024,Saputo Inc,Processed Foods,Canada
Customer Privacy,Data security and customer privacy,59357,2024,Hochland Polska,Processed Foods,Poland
Sustainable Agriculture,Environmental management,49362,2021,The J.M. Smucker Company,Processed Foods,United States
Carbon emissions,Climate change and GHG emissions,32251,2019,Bakkafrost P/F,Processed Foods,Faroe Islands
Employment and wealth generation,Economic performance,45389,2024,Lippo Ltd,Processed Foods,"Hong Kong SAR, China"
Pricing and quality,Product quality and safety,31213,2022,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Climate and energy,Energy,18919,2019,Orior AG,Processed Foods,Switzerland
Scope 1 emissions,Climate change and GHG emissions,33525,2024,Old Chang Kee Ltd.,Processed Foods,Singapore
Environmental protection initiatives,Environmental management,41199,2023,Nippon Flour Mills Co Ltd,Processed Foods,Japan
Occupational Health and Safety,Occupational health and safety,33550,2022,Khong Guan Limited,Processed Foods,Singapore
Circular economy,Material use and circular economy,59559,2024,SOVENA,Processed Foods,Portugal
Sustainable supply chain management,Supply chain and procurement practices,25467,2023,Hunya Foods Co Ltd,Processed Foods,Taiwan
Information Security,Data security and customer privacy,28534,2021,GEA Group Aktiengesellschaft,Processed Foods,Germany
Environment conservation,Environmental management,58847,2024,Nitta Gelatin Inc,Processed Foods,Japan
Talent Management,Employee attraction and retention,40707,2021,Ulker Biskuvi Sanayi AS,Processed Foods,Turkiye
Business ethics,Corporate governance,18996,2023,Bonduelle SCA,Processed Foods,France
Improvement of customer satisfaction,Customer experience and engagement,41197,2022,Unicharm Petcare Corp,Processed Foods,Japan
water sustainability,Water management,32269,2021,Bega Cheese Limited,Processed Foods,Australia
Emissions,Climate change and GHG emissions,36273,2024,Lindt & Sprüngli AG,Processed Foods,Switzerland
Greenhouse gas emissions,Climate change and GHG emissions,43856,2024,Four Seas Mercantile Holdings Ltd,Processed Foods,"Hong Kong SAR, China"
plastics and packaging materials,Material use and circular economy,32585,2022,McCormick & Company Incorporated,Processed Foods,United States
WASTE,Waste management,57968,2024,Utz Brands Inc,Processed Foods,United States
Renewable energy integration,Energy,41040,2024,RFG Holdings Limited,Processed Foods,South Africa
Supply Chain Assessment,Supply chain and procurement practices,23553,2021,Delfi Ltd,Processed Foods,Singapore
Animal welfare,Animal welfare & testing,20639,2023,Orkla ASA,Processed Foods,Norway
Energy and Emissions,Energy,48964,2024,Food Empire Holdings Limited,Processed Foods,Singapore
Industrial Safety,Occupational health and safety,37280,2024,Grupo Herdez SAB de CV,Processed Foods,Mexico
Customer Privacy,Data security and customer privacy,48864,2021,"Snyder's-Lance, Inc.",Processed Foods,United States
Economic Performance,Economic performance,33038,2021,Lotus Bakeries NV,Processed Foods,Belgium
Strengthening product and service quality,Product quality and safety,22041,2022,Dongwon Industries Co Ltd,Processed Foods,"Korea, Rep."
Emission,Climate change and GHG emissions,45582,2022,Mayora Indah Tbk PT,Processed Foods,Indonesia
reforestation,Biodiversity,48784,2024,SA San Miguel AGICI y F,Processed Foods,Argentina
Ethics & Integrity,Corporate governance,58273,2024,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Emissions control,Climate change and GHG emissions,50907,2024,Bakkafrost P/F,Processed Foods,Faroe Islands
Human Rights Assessment,"Human rights, child labor, forced or compulsory labor",28347,2018,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Food safety and quality,Product quality and safety,31334,2021,Kikkoman Corporation,Processed Foods,Japan
Child Labor,"Human rights, child labor, forced or compulsory labor",46506,2022,PIC Tech Ltd,Processed Foods,New Zealand
reliable supply of medications,Supply chain and procurement practices,28737,2019,Orion Corporation,Processed Foods,Finland
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",43852,2022,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Business integrity,Corporate governance,28229,2020,Lindt & Sprüngli AG,Processed Foods,Switzerland
climate change,Climate change and GHG emissions,57804,2024,Chocoladefabriken Lindt & Spruengli AG,Processed Foods,Switzerland
Sustainable Foods,Material use and circular economy,21652,2022,Pulmuone Co Ltd,Processed Foods,"Korea, Rep."
Supply chain transparency,Supply chain and procurement practices,52191,2023,bio-familia AG,Processed Foods,Switzerland
Healthy workplaces,Occupational health and safety,20638,2019,Orkla ASA,Processed Foods,Norway
Impact of practices on SMEs,Other,54478,2022,Reitzel,Processed Foods,Switzerland
Customer Privacy,Data security and customer privacy,33034,2020,Emmi AG,Processed Foods,Switzerland
Social impacts,Other,22343,2022,"Treehouse Foods, Inc.",Processed Foods,United States
corporate governance,Corporate governance,22160,2022,High Liner Foods Inc,Processed Foods,Canada
Environmental cleanup initiatives,Environmental management,35161,2023,BEENZ LIMITED,Processed Foods,New Zealand
Emissions,Climate change and GHG emissions,29027,2023,Del Monte Foods Inc,Processed Foods,United States
"Biodiversity, deforestation prevention and sustainable agriculture",Biodiversity,29973,2021,Ferrero Group,Processed Foods,Luxembourg
Packaging,Material use and circular economy,43048,2022,Country Foods Ltd,Processed Foods,South Africa
Responsible Sourcing,Supply chain and procurement practices,34849,2021,International Foods Co,Processed Foods,United Arab Emirates
Sustainable Packaging,Material use and circular economy,51131,2024,SunOpta Inc,Processed Foods,Canada
industry influence,Political influence and lobbying,34355,2022,"OSI Group, LLC",Processed Foods,United States
"Employee health, safety and well-being",Occupational health and safety,18735,2021,"General Mills, Inc.",Processed Foods,United States
Socioeconomic Compliance,Other,26526,2023,Zetar Ltd,Processed Foods,United Kingdom
Ending food waste,Material use and circular economy,54699,2022,Sigma Alimentos,Processed Foods,Mexico
Environment,Environmental management,52121,2022,Baronie,Processed Foods,Belgium
Employee safety,Occupational health and safety,59672,2025,"General Mills, Inc.",Processed Foods,United States
Ethical supply chain,"Human rights, child labor, forced or compulsory labor",58046,2024,Tiger Brands Ltd,Processed Foods,South Africa
waste,Waste management,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
Disaster Resiliency,Risk management,34849,2021,International Foods Co,Processed Foods,United Arab Emirates
Technology Innovation,Innovation and R&D,18790,2023,"Flowers Foods, Inc.",Processed Foods,United States
Procurement practices,Supply chain and procurement practices,53524,2022,Italcanditi,Processed Foods,Italy
Quality and Food Safety,Product quality and safety,50618,2022,Asian Alliance International PCL,Processed Foods,Thailand
Food safety and quality,Product quality and safety,37982,2021,"Treehouse Foods, Inc.",Processed Foods,United States
Product integrity,Product quality and safety,33818,2021,"Deoleo, S.A.",Processed Foods,Spain
Capital investment planning,Economic performance,31655,2023,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
Regulatory compliance,Compliance with laws and regulations,45990,2024,Nestle Malaysia Bhd,Processed Foods,Malaysia
transparency and accountability,Corporate governance,42483,2024,Campina Ice Cream Industry P,Processed Foods,Indonesia
Occupational health and safety,Occupational health and safety,18996,2023,Bonduelle SCA,Processed Foods,France
Biodiversity,Biodiversity,31565,2021,Kewpie Corporation,Processed Foods,Japan
food safety and quality,Product quality and safety,44087,2024,Gopal Snacks Ltd,Processed Foods,India
Tax,Tax,26523,2023,Brake Bros Ltd,Processed Foods,United Kingdom
Well-being,Other,35153,2021,RONCADIN SPA SB,Processed Foods,Italy
Safe food,Other,49931,2019,Corbion NV,Processed Foods,Netherlands
Responsible Sourcing & Regenerative Agriculture,Supply chain and procurement practices,19783,2023,Kerry Group PLC,Processed Foods,Ireland
Local Communities,Local communities and rights of indigenous peoples,33475,2022,Hosen Group Ltd,Processed Foods,Singapore
Climate change impact,Climate change and GHG emissions,23931,2023,Calbee Inc,Processed Foods,Japan
Corporate culture,Other,57634,2024,Julius Meinl,Processed Foods,Austria
Freedom of Association and Collective Bargaining,Freedom of association and collective bargaining,26523,2023,Brake Bros Ltd,Processed Foods,United Kingdom
sustainable supply chain,Supply chain and procurement practices,31832,2020,Blue Star Foods Corp.,Processed Foods,United States
Workplace health and safety,Occupational health and safety,38995,2024,AVI Ltd,Processed Foods,South Africa
Digital Transformation,Innovation and R&D,46921,2023,San Miguel Corp,Processed Foods,Philippines
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",29506,2023,Barilla,Processed Foods,Italy
Workplace safety,Occupational health and safety,51131,2024,SunOpta Inc,Processed Foods,Canada
Helping children succeed,Other,28568,2019,The Hershey Company,Processed Foods,United States
Climate action,Climate change and GHG emissions,18881,2020,Cloetta AB,Processed Foods,Sweden
Tax,Tax,33461,2023,Food Empire Holdings Limited,Processed Foods,Singapore
Climate Change,Climate change and GHG emissions,29636,2021,Inarktika PAO,Processed Foods,Russian Federation
Responsible leadership ethical conduct,Other,46936,2022,Sanford Ltd/NZ,Processed Foods,New Zealand
Stakeholder Engagement,Corporate governance,24816,2023,Newlat Food SpA,Processed Foods,Italy
Food Safety and Quality,Product quality and safety,36685,2023,Lamb Weston Holdings Inc,Processed Foods,United States
Conscious consumption,Other,35154,2022,RONCADIN SPA SB,Processed Foods,Italy
Diverse supplier engagement,Supply chain and procurement practices,48898,2021,McCormick & Company Incorporated,Processed Foods,United States
Nutrition and Healthy Living,Access & affordability,37719,2021,Saputo Inc,Processed Foods,Canada
"Incidents, complaints and severe human rights impacts","Human rights, child labor, forced or compulsory labor",36660,2024,Kerry Group PLC,Processed Foods,Ireland
Grower Empowerment,"Human rights, child labor, forced or compulsory labor",36573,2024,DelMonte,Processed Foods,United States
human rights,"Human rights, child labor, forced or compulsory labor",24855,2021,Nisshin Seifun Group Inc.,Processed Foods,Japan
Sustainable Agriculture,Environmental management,19848,2022,Lamb Weston Holdings Inc,Processed Foods,United States
Suppliers social environmental responsibility,Supply chain and procurement practices,47818,2024,The J M Smucker Company,Processed Foods,United States
Employee engagement score,Employee attraction and retention,27338,2021,Famous Brands Ltd,Processed Foods,South Africa
Talent Attraction Employee Development,Employee attraction and retention,53245,2021,Griffith Foods,Processed Foods,United States
employment and labor relations,Freedom of association and collective bargaining,50591,2022,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
prevent harassment,"Diversity, equal opportunity and non-discrimination",29631,2020,AAK AB (publ),Processed Foods,Sweden
Water and marine resources,Environmental management,38424,2023,Ebro Foods SA,Processed Foods,Spain
Carbon footprint,Climate change and GHG emissions,42635,2023,Cerealis,Processed Foods,Tunisia
Auxiliary and operating materials,Material use and circular economy,32133,2021,Bell Food Group AG,Processed Foods,Switzerland
Emissions,Climate change and GHG emissions,26526,2023,Zetar Ltd,Processed Foods,United Kingdom
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",52749,2023,Dr. Schär,Processed Foods,Italy
Reliable supply medications,Supply chain and procurement practices,28740,2022,Orion Corporation,Processed Foods,Finland
Cybersecurity,Data security and customer privacy,57692,2024,Lamb Weston Holdings Inc,Processed Foods,United States
Diversity equity inclusion,"Diversity, equal opportunity and non-discrimination",18630,2020,Mondelez International Inc,Processed Foods,United States
Market Presence,Economic performance,29447,2021,M. Dias Branco S.A,Processed Foods,Brazil
healthy and diverse lifestyles,Other,23932,2024,Calbee Inc,Processed Foods,Japan
Certification and collaboration,Corporate governance,32252,2020,Bakkafrost P/F,Processed Foods,Faroe Islands
social impact,Other,31068,2023,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Reputation damage,Other,51000,2024,"Post Holdings, Inc.",Processed Foods,United States
Society,Other,20649,2019,"Post Holdings, Inc.",Processed Foods,United States
Local Communities,Local communities and rights of indigenous peoples,33461,2023,Food Empire Holdings Limited,Processed Foods,Singapore
Safe and reliable products,Product quality and safety,27784,2021,Kyokuyo Co Ltd,Processed Foods,Japan
energy consumption,Energy,23263,2023,Tiger Brands Ltd,Processed Foods,South Africa
Community development,Local communities and rights of indigenous peoples,51164,2016,Ebro Foods SA,Processed Foods,Spain
fair wages,Employee attraction and retention,53873,2024,MEGGLE GmbH & Co. KG,Processed Foods,Germany
employee health,Occupational health and safety,29634,2020,Herbalife Nutrition Ltd,Processed Foods,Cayman Islands
Energy efficiency,Energy,39631,2023,Eurogerm SAS,Processed Foods,France
Farmer livelihoods,Local communities and rights of indigenous peoples,28567,2018,The Hershey Company,Processed Foods,United States
Internal control systems,Corporate governance,34169,2022,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Climate/Energy,Climate change and GHG emissions,36151,2021,"Flowers Foods, Inc.",Processed Foods,United States
Workplace Culture Employee Engagement,Corporate governance,36684,2021,Lamb Weston Holdings Inc,Processed Foods,United States
Reduction of greenhouse gas emissions,Climate change and GHG emissions,37426,2022,Ajinomoto Co Inc,Processed Foods,Japan
Social issues,Other,28272,2018,Julius Meinl,Processed Foods,Austria
Protect and enhance natural resources,Environmental management,52749,2023,Dr. Schär,Processed Foods,Italy
Healthy environment,Other,29977,2022,"Sigma Alimentos, S. A. de C. V.",Processed Foods,Mexico
environmental management,Environmental management,36272,2023,Jungbunzlauer Suisse AG,Processed Foods,Switzerland
Regulatory Compliance,Compliance with laws and regulations,34850,2022,International Foods Co,Processed Foods,United Arab Emirates
Sustainable agriculture,Environmental management,37276,2023,Gruma SAB de CV,Processed Foods,Mexico
product safety and quality,Product quality and safety,32331,2021,Darling Ingredients,Processed Foods,United States
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",59453,2024,Mutti S.p.A.,Processed Foods,Italy
Taxation,Tax,53409,2023,Humble Group,Processed Foods,Sweden
Governance aspects,Corporate governance,24816,2023,Newlat Food SpA,Processed Foods,Italy
Consistency and quality suppliers,Supply chain and procurement practices,33524,2023,Old Chang Kee Ltd.,Processed Foods,Singapore
Animal welfare,Animal welfare & testing,20638,2019,Orkla ASA,Processed Foods,Norway
Water and Effluents,Water management,59357,2024,Hochland Polska,Processed Foods,Poland
Responsible Supply Chain Management,Supply chain and procurement practices,46605,2022,President Bakery PCL,Processed Foods,Thailand
Packaging / circular economy,Material use and circular economy,18997,2024,Bonduelle SCA,Processed Foods,France
Water Security,Water management,53245,2021,Griffith Foods,Processed Foods,United States
Supply chain management,Supply chain and procurement practices,29979,2022,"FCF Co., Ltd.",Processed Foods,Taiwan
Sustainable sourcing,Supply chain and procurement practices,35154,2022,RONCADIN SPA SB,Processed Foods,Italy
Social responsibility,Corporate governance,41195,2023,Daisho Co Ltd,Processed Foods,Japan
